NAME,IDENTIFIER
Aboriginal Sites,cddp:aboriginal_sites
Aerial Fire Observation Spotter Circuits,cddp:aerial_fire_observation_spotter_circuits
Aerial Fire Suppression Response Area,cddp:aerial_fire_suppression_response_area
Apiary Sites,cddp:apiary_sites
ARC Infrastructure Rail Corridors,cddp:arc_rail_corridors
ARC Infrastructure Administration Regions,cddp:arc_regions
Auslig 1M Mosaic,cddp:auslig
Auslig 250K,cddp:auslig_cddp
Avon Valley Fire Response Zones,cddp:avon_valley_fire_response_zones
School Bus Routes,cddp:bus_routes_school
School Bus Stops,cddp:bus_stops_school
Cadastre,cddp:cadastre
FPC Clear Felled Plantations,cddp:cddp_cpt_fpc_clear_felled_vw
COG (2019),cddp:cog_2019
DBCA Repeater Stations,cddp:communication_repeater_stations
DBCA - Lands and Waters of Interest,cddp:dept_interest_lands_and_waters
DFES Enhanced Air Operations Response Areas,cddp:dfes_enhanced_air_operation_areas
Dieback Occurrence,cddp:dieback_occurrence
Dieback Sample Points,cddp:dieback_sample_points
Distribution High Voltage Carrier Line,cddp:dist_high_voltage_carrier_line
Distribution Low Voltage Carrier Line,cddp:dist_low_voltage_carrier_line
Bridges,cddp:dpaw_bridges
DBCA Radio Repeater Linkups,cddp:dpaw_communications_repeaters_linkup
DBCA Offices and Work Centres,cddp:dpaw_offices
DBCA Managed Tracks and Trails,cddp:dpaw_trails
Forest Disease Risk Areas,cddp:dra
SEMC Emergency Management (EM) Boundaries,cddp:em_boundaries
ESD Great Southern Inland 2014,cddp:esd_greatsoutherninland_2014
ESD Mid West Gascoyne 2013,cddp:esd_midwest_gasgoyne_2013
ESD Southwest 2016,cddp:esd_southwest_2016
ESD Swan 2017,cddp:esd_swan_2017
FD Grid Reference Points,cddp:fd_grid_points
FD Grid Reference Points Mapping,cddp:fd_grid_points_mapping
Water Bomber Bases,cddp:fire_bomber_bases
Fire Exclusion Reference Areas (FERA),cddp:fire_exclusion_reference_areas
Fire Lookout Towers,cddp:fire_towers
Forest Blocks,cddp:forest_blocks
FPC Harvesting Operations,cddp:fpc_harvesting_ops
ESD Great Southern Coastal 2010,cddp:GSC_ESD_fromGM_ECW_ll
DBCA - Legislated Lands and Waters,cddp:legislated_lands_and_waters
LGA Boundaries,cddp:local_gov_authority
Management Plan No Planned Burn Areas,cddp:no_plan_burn_areas
ESD Northern Wheatbelt 2011,cddp:NW_ESD_2011_Seamless
Pastoral Leases,cddp:pastoral
Former Pastoral Lease,cddp:pastoral_dpaw
State Physiognomic Vegetation Types,cddp:physiognomic_veg_groups
Pilbara Grid 10 km,cddp:pilbara_grid_10km_mapping
Pilbara Grid 1 km,cddp:pilbara_grid_1km_mapping
Pipelines,cddp:pipelines
FPC Plantations,cddp:plantation_annual_report
Police Districts,cddp:policedistricts
Police Stations,cddp:policestations
Police Subdistricts,cddp:policesubdistricts
Private Plantations,cddp:private_plantations
Prohibited Burning Periods,cddp:prohibited_burning_periods
ESD Swan and Southwest,cddp:raster_esd_swan_southwest
Relegated Tracks (CDDP),cddp:relegated_tracks
Scientific Study Sites,cddp:scientific_study_sites
Specified Management Regimes,cddp:specified_management_regimes
State Map Base 250K,cddp:state_map_base
Streetsmart,cddp:streetsmart_2013
TGDB Roads (CDDP),cddp:tgdb_roads
Threatened and Priority Flora,cddp:threatened_priority_flora
Townsite Points,cddp:townsite_points
Townsite Boundaries,cddp:townsite_poly
Overhead Transmission Lines,cddp:trans_lines_overhead_only_line
Unallocated Crown Land (UCL),cddp:unallocated_crown_land
Unmanaged Reserves (UMR),cddp:unmanaged_reserves
Vineyards - Statewide,cddp:Vineyard_Combined_2_LL
Vineyards - Warren Region,cddp:vineyards_warren_region
WA Coastline,cddp:wa_coast
WA Electoral Regions (Legislative Council),cddp:wa_electoral_regions_2017
Section 16 Managed Lands,cddp:wapc_sect16
Wine Regions,cddp:Wine_Regions
Yawuru ILUA In-Town Reserves,cddp:yawuru_ilua_intown_reserves
